# nuCraft Earth model with PREM density values for use as template; keep structure of the first six lines unmodified!
(0.4957, 0.4656, 0.4656)   # tuple of (relative) electron numbers for mantle, outer core, and inner core
6371.    # radius of the Earth
3480.    # radius of the outer core
1121.5   # radius of the inner core
# two-columned list of radii and corresponding matter density values in km and kg/dm^3; add, remove or modify lines as necessary
0.0     13.08848
200.0   13.07977
400.0   13.05364
600.0   13.01009
800.0   12.94912
1000.0  12.87073
1200.0  12.77493
1221.5  12.76360
1221.5005  12.16634
1400.0  12.06924
1600.0  11.94682
1800.0  11.80900
2000.0  11.65478
2200.0  11.48311
2400.0  11.29298
2600.0  11.08335
2800.0  10.85321
3000.0  10.60152
3200.0  10.32726
3400.0  10.02940
3480.0  9.90349
3480.0005  5.56645
3600.0  5.50642
3630.0  5.49145
3630.0005  5.49145
3800.0  5.40681
4000.0  5.30724
4200.0  5.20713
4400.0  5.10590
4600.0  5.00299
4800.0  4.89783
5000.0  4.78983
5200.0  4.67844
5400.0  4.56307
5600.0  4.44317
5600.0005  4.44317
5701.0  4.38071
5701.0005  3.99214
5771.0  3.97584
5771.0005  3.97584
5871.0  3.84980
5971.0  3.72378
5971.0005  3.54325
6061.0  3.48951
6151.0  3.43578
6151.0005  3.35950
6221.0  3.36710
6291.0  3.37471
6291.0005  3.37471
6346.6  3.38076
6346.6005  2.90000
6356.0  2.90000
6356.0005  2.60000
6368.0  2.60000
6368.0005  1.02000
6371.0  1.02000
6371.0005  0.0
8000.0  0.0

